pid,fum,frcv,fry,forc
637624,LM-1000,JM-5000,0,
637765,JR-3700,OS-0400,0,
637767,RW-3850,RW-3850,0,
637810,RW-3850,ML-2500,0,
637936,FJ-0100,FJ-0100,0,
637948,TW-1350,JH-5900,18,JH-5900
638007,JM-0850,JM-0850,0,
638016,AL-1100,JH-2800,0,RK-0500
638025,RC-1300,,0,TH-1850
638050,CM-1500,AM-2850,0,
638063,CM-1500,CM-1500,0,JN-1350
638072,JH-2250,AL-1100,0,
638093,DH-2550,RC-1300,0,PR-0200
638121,CM-1500,DJ-0500,35,EW-0100
638165,CM-1500,CC-1700,0,GT-0300
638201,TA-1050,EG-0050,0,
638210,GA-0500,KT-0450,0,
638262,GA-0500,GA-0500,0,
638295,TA-1050,TA-1050,0,
638303,MR-0500,RM-3050,9,WH-0300
638332,MS-0200,CL-1400,0,RQ-0200
638346,MS-0200,KB-1400,0,RQ-0200
638396,KR-1200,,0,TD-0700
638430,TB-2650,TB-2650,0,CJ-1300
638484,GJ-0400,,0,BB-1750
638698,GG-0320,JM-2900,0,
638810,JM-2900,JM-2900,0,
638952,EM-0200,JT-1300,0,GH-0700
638985,LD-0650,AC-2250,41,DG-2450
639027,EM-0200,CC-2600,0,SM-0500
639087,ER-0500,JM-4300,0,CC-0500
639202,JJ-3900,JJ-3900,0,
639305,AJ-0900,JM-2800,62,JM-2800
639345,JL-2300,JW-1100,14,JW-1100
639431,MF-0950,DT-1970,15,WM-1000
639651,AR-1300,AR-1300,0,JC-3550
639775,PM-0200,KC-1800,0,JH-5500
639804,MC-2570,OB-0150,0,
639849,DA-2100,BR-1050,0,RM-4600
639973,GS-1050,CI-0300,0,
640087,MF-1300,SM-3000,17,AS-3100
640187,CP-0800,NJ-0270,0,DH-2800
640303,AD-0100,AM-2300,0,
640347,JC-0500,JW-6500,0,AM-2300
640388,AL-1100,CR-1150,0,PK-0300
640433,JC-5600,,0,EM-0270
640442,TH-1850,PK-0300,0,JH-0100
640496,JC-5600,JG-2500,0,MM-4500
640598,JM-2900,AF-0700,0,
640609,JI-0200,OC-0200,0,LS-1900
640646,DR-0300,MS-4100,0,
640665,MS-4100,TS-3650,0,LE-0200
640736,ZM-0150,MK-1700,26,DK-0465
640771,ZM-0150,LW-0500,0,JP-2900
640928,RT-0150,DS-2170,0,ED-1000
640979,JL-0215,JL-0215,0,
641031,NM-0200,GS-1050,0,
641051,PH-0400,PH-0400,0,
641065,CJ-1450,JF-1000,0,JJ-1100
641081,CI-0300,CM-3400,0,AS-0600
641105,CP-0750,TG-1550,0,BP-1200
641162,PH-0400,,0,MS-1300
641170,JK-1000,PA-0100,0,
641206,MI-0100,CC-3400,0,JN-1750
641301,CN-0500,CN-0500,0,
641327,GO-0100,GO-0100,0,CL-1300
641384,SH-1100,SH-1100,0,
641422,SH-1100,TM-0650,0,RK-0500
641425,CM-1500,JR-1150,0,RQ-0200
641511,SR-0350,SM-3600,0,RM-3050
641628,DJ-0950,DH-3950,0,SM-0700
641691,SW-0450,RM-4600,0,BR-1050
641732,FJ-0100,FJ-0100,0,DB-5100
641755,JT-0300,CG-1700,0,DW-3950
641895,DS-3800,BM-0360,0,JH-5500
641991,TK-0150,JB-3350,0,DB-5450
642186,JR-3700,ZE-0100,9,
642255,LM-1000,ET-0200,0,KW-2500
642285,DS-3300,DS-3300,0,
642308,ML-2500,MJ-0600,0,MK-0730
642376,BL-0100,DS-5100,53,JA-0280
642394,AG-0500,AG-0500,0,JC-1800
642531,AR-1300,AR-1300,0,DL-2300
642694,TM-0650,LF-0500,0,FR-0200
642813,KW-1250,JV-0300,0,JJ-1550
642817,SW-0800,SH-1100,0,
642828,TA-1050,TA-1050,0,JB-3350
642915,RW-2200,PD-0700,0,WA-0100
643148,AD-1300,AD-1300,0,JP-2000
643155,AR-1300,EL-0010,0,MW-2300
643211,JH-4025,,0,BW-2650
643278,JH-4025,CB-2000,0,CK-0850
643285,BT-0300,BT-0300,0,
643418,TB-2650,MH-1030,0,JJ-4300
643511,RW-1100,AB-2250,0,AB-2250
643512,TS-0550,BW-0920,1,
643559,TS-0550,TS-0550,0,
643718,TK-0150,CW-3100,21,BR-1450
643737,DC-0725,FZ-0100,0,
643898,BL-0100,BL-0100,0,
643919,JE-0100,JE-0100,0,KS-0800
643941,JL-0215,CC-2100,0,DH-2950
643950,RT-0150,JJ-0650,0,CJ-2050
643975,RT-0150,RT-0150,0,
644050,TW-1175,TW-1175,0,
644066,RG-1850,,0,JP-2900
644079,RG-1850,KL-1000,0,DK-0465
644132,RG-1850,KL-1000,0,JH-0840
644145,OB-0075,TR-0620,0,
644152,DA-1300,DA-1300,0,
644200,JM-2900,JM-2900,0,KE-0050
644230,JM-2900,KS-0850,0,MA-0300
644244,JS-6700,AS-3050,0,AV-0300
644249,BB-2050,BB-2050,0,
644265,CS-1950,,0,CJ-2300
644271,JM-2900,BB-1750,0,RH-0700
644302,JS-6700,JS-6700,0,LD-0150
644354,KJ-1400,JE-1200,-2,JT-1300
644499,CS-3100,JL-2300,0,
644518,LW-0500,TG-1550,0,
644645,PM-0200,RC-1200,0,MI-0150
645060,TR-0800,FC-0400,0,VC-0400
645091,DH-1800,DH-1800,0,
645098,BC-0700,KW-0960,0,JW-3050
645116,DS-3300,DS-3300,0,
645127,NT-0180,JA-0900,0,BV-0150
645136,DB-3800,DB-3800,0,
645257,JC-6200,JC-6200,0,JG-0400
645320,BB-2425,TG-0600,0,DM-3600
645458,BM-2600,CL-1000,0,MG-0600
645551,CK-0100,CL-1000,0,RM-1100
645604,PR-0300,CR-0900,0,DS-2200
645622,QP-0050,SL-0700,0,EW-0400
645642,MS-0100,RK-0500,0,RK-0500
645721,AR-1100,NC-0100,0,MJ-0600
645752,RG-1850,RG-1850,0,
645871,JB-2700,JB-2700,0,SP-0100
645887,JR-3270,SM-2300,0,
646039,JL-0215,JL-0215,0,
646125,JL-0215,AE-1100,0,
646187,MR-2500,JR-2800,0,
646213,DB-3800,ZS-0200,0,DL-2300
646267,JG-2900,KI-0150,18,KI-0150
646314,DB-3800,OU-0100,86,KB-1100
646558,JC-2300,VW-0250,0,ST-1150
646622,RC-1500,RC-1500,0,LJ-1150
646627,AR-1300,CM-1600,1,MJ-1800
646737,JM-2900,JA-1075,0,JP-2000
646879,CN-0500,BB-1600,0,SS-2350
646897,JN-1750,TB-1060,0,TB-1060
646927,JF-1900,,0,WM-0550
647030,DH-3950,,0,RM-3850
647117,BC-3070,NB-0250,0,OD-0200
647272,SW-0800,KW-2800,0,
647386,MH-1600,GS-0800,2,OS-0200
647393,JR-0250,DJ-0500,0,DB-6100
647550,DC-0725,DC-0725,0,
647575,CS-3400,CS-3400,0,AS-2400
647728,RL-0950,RL-0950,0,
647771,CM-2280,,0,TJ-0950
647892,JH-4025,VM-0300,2,VM-0300
647906,JG-3700,CB-2000,0,DB-5100
648020,RW-2200,TD-0700,33,AG-0775
648136,JB-2700,JB-2700,0,NP-0130
648151,EL-0010,GJ-0800,0,JI-0200
648226,MS-4100,MB-5100,0,
648254,RC-1500,CV-0200,0,
648295,AL-1100,HT-0600,0,DJ-2250
648380,CS-3100,CW-1900,0,
648382,CW-1900,BS-3900,0,JN-1350
648396,BS-0650,VD-0200,-9,VD-0200
648402,DW-0500,DW-0500,0,MA-0200
648467,DB-3200,TK-0150,0,JA-0280
648518,PR-0300,JM-2000,0,JH-5500
648632,GS-1050,JT-3600,0,RJ-2000
648755,RT-0150,DD-0250,0,DH-1400
648969,KO-0700,JC-3550,0,JC-3550
649079,PP-0100,MH-2400,0,CM-0200
649311,MI-0100,,0,LD-0150
649499,TR-0800,TR-0800,0,
649573,RG-1850,AS-3100,5,TM-1400
649581,JR-1150,JW-3050,0,KS-1450
649598,CS-1350,TS-3500,0,
649624,JF-1900,JF-1900,0,
649658,JF-1900,JZ-0300,0,PK-0300
649769,BB-2425,LJ-0750,0,JW-1100
649863,CK-0250,RD-0650,0,CC-2600
649951,PM-0200,KM-1150,18,JT-3800
649969,DC-0725,DP-1100,0,
649986,CA-0750,WW-0200,0,RA-1350
650072,DC-0725,TC-1000,20,LM-1020
650305,ML-2500,TM-1750,3,AO-0250
650317,RW-3850,RW-3850,0,
650326,RW-3850,JB-5750,0,AD-1475
650386,BC-3070,,0,ET-0200
650397,SH-1100,GR-0450,0,BI-0150
650441,BR-1100,WG-0600,0,
650545,AG-1500,AB-1950,0,AB-1950
650558,BR-1100,JH-2075,0,
650594,BB-2050,JB-3350,0,
650615,RL-0950,RL-0950,0,
650672,TG-0900,KR-0350,0,MW-1450
650699,CN-0500,RJ-0900,30,SA-0100
650717,BN-0700,BN-0700,0,
650726,MF-0950,JB-6950,0,
650732,BT-0200,AB-3500,0,DS-2700
650808,JF-1900,JZ-0300,0,SS-2450
650842,JF-2800,ST-1150,0,
650884,HM-0200,DS-4300,0,DS-2700
650963,DH-2550,RN-0300,6,DD-0950
651020,DH-2550,KH-2250,0,VR-0200
651046,AD-0100,MH-3720,0,JF-3060
651059,DB-5300,DB-5300,0,RM-1300
651062,RB-4900,,0,BC-1200
651094,TR-0800,CB-1130,0,DT-0100
651116,JR-3270,JR-3270,0,
651207,MS-4100,DL-0450,0,AS-3100
651216,MS-4100,DL-0450,0,DL-0450
651226,DA-0900,CJ-2150,0,JM-4300
651278,JE-0100,JE-0100,0,CM-3250
651362,KJ-1400,,0,LR-0600
651398,JS-6700,,0,ET-0200
651422,RW-3850,RW-3850,0,
651430,CN-0500,TM-1700,0,
651467,CN-0500,,0,OS-0400
651477,ML-2500,RW-3850,0,WH-0850
651552,TR-0800,TR-0800,0,JP-2000
651595,AR-1300,JM-5000,0,
651620,TR-0800,TR-0800,0,
651639,DM-4300,DJ-2350,0,JP-2000
651654,RC-1500,AQ-0100,0,CS-3500
651745,PM-0200,JF-3060,0,JN-1350
651894,DB-0500,MB-5100,0,BJ-2100
651905,MH-4000,MH-4000,0,
651984,RW-3850,RW-3850,0,
652059,JC-5600,DF-0950,0,
652081,JE-0100,,0,DB-6100
652492,DL-1700,RG-2200,0,MM-3800
652760,BH-1900,AB-0100,0,JH-5500
652794,KM-3250,KM-3250,0,
652826,DT-0850,DT-0850,0,
652902,JM-2900,,0,CP-2600
652922,TG-0950,BM-0300,8,BM-0300
652934,RF-0500,RF-0500,0,
652999,JM-0850,DR-1100,17,MW-1800
653010,JM-0850,QC-0350,0,TR-0175
653080,CC-2100,CC-2100,0,DB-6100
653148,TT-0500,TT-0500,0,
653149,PD-0800,PD-0800,0,
653159,PD-0800,RJ-0875,1,
653269,LJ-0350,LJ-0350,0,PS-0550
653276,RT-0150,PS-0550,0,PS-0550
653324,KC-2350,,0,
653403,AH-3900,JN-1750,0,JN-1750
653589,NF-0250,JH-4050,0,
653616,TA-1050,TA-1050,0,
653639,IP-0050,BI-0150,1,ET-0200
653651,NF-0250,CW-2300,8,CW-2300
653771,TD-0850,TD-0850,0,
653795,AE-0750,DB-3750,0,HK-0100
653956,MG-1150,ST-1200,0,JJ-4300
653985,AA-0025,AA-0025,0,
654047,JW-5650,JW-5650,0,
654101,BS-0650,JF-2950,0,HM-0100
654129,TW-1350,GJ-0800,0,LD-0150
654163,JW-5650,JW-5650,0,AB-1925
654229,DC-0725,,0,AJ-1200
654284,MM-2570,MJ-1800,0,GA-0400
654501,JR-0250,JR-0250,0,RA-1500
654564,CB-1130,DR-2800,57,TM-1200
654657,TF-1350,TR-0800,0,
654876,JH-3050,AC-1850,0,
655012,JC-2300,DS-4300,0,DB-5100
655031,DT-0850,TD-0725,0,BF-0950
655160,JC-2300,BR-1050,21,BM-0330
655435,CK-0100,RS-0962,0,
655465,CK-0100,GC-0350,0,RS-0962
655554,MM-5750,MM-5750,0,
655559,DB-3800,DB-3800,0,JS-4037
655573,DB-3800,AJ-1125,0,JS-4037
655644,WS-0925,DS-5150,12,SM-3000
655669,JW-5650,KE-0125,0,HK-0100
655674,DM-0450,CJ-2400,0,KW-1400
655689,MI-0100,HM-0100,0,CC-4000
655791,LM-1500,AS-0600,28,CM-3400
655792,AP-0700,JW-5300,0,JI-0200
655808,TR-0370,SS-2750,0,HS-0130
655844,AP-0700,AP-0700,0,
655916,JC-6200,,0,DB-5450
655949,JN-0625,JR-2800,0,
655989,JC-3100,KL-1350,0,FR-0200
656014,WM-0800,JC-3100,0,
656094,DL-1700,CG-1700,29,PB-0750
656173,TT-0500,TT-0500,0,AB-2700
656174,TT-0500,LM-1000,0,JC-3550
656209,PH-0400,,0,BF-0600
656215,TB-2300,PB-0750,0,JH-5900
656236,KA-0650,EL-0060,0,
656256,JH-4025,DB-6300,1,DB-6300
656259,PR-0300,CC-0900,0,WG-0600
656319,JH-4025,JW-5100,0,
656400,TW-1350,JH-0100,0,KD-0100
656425,MM-0912,CK-0850,0,JH-5950
656484,JM-0850,MS-0550,0,WW-0900
656498,JM-0850,DJ-1850,0,DM-3600
656535,MM-0912,DM-1200,0,KW-1550
656539,MM-0912,RS-2800,0,AB-3850
656658,EM-0200,PS-0600,0,KB-1100
656677,EM-0200,LD-0650,0,VB-0075
656717,NF-0250,NF-0250,0,
656808,MJ-2275,TM-1750,0,RQ-0200
656837,TM-0650,SB-0070,0,RK-0500
657022,RT-0150,JF-3000,0,JO-0300
657051,KA-0400,CL-1300,0,TC-0385
657332,TR-0800,FC-0400,0,JH-3675
657371,GE-0250,MJ-0600,34,BM-0600
657372,SB-1100,NH-0900,0,
657458,JS-6200,KW-2500,0,KW-2500
657545,JE-0350,JE-0350,0,GG-0335
657561,FJ-0100,MH-4000,0,
657638,AL-1100,DR-1100,1,DH-1400
657664,FG-0200,DR-1100,0,
657706,BP-1200,BP-1200,0,DJ-0500
657744,DH-1800,OD-0200,0,
657851,MJ-2275,,0,TW-0130
657868,CT-1220,,0,UU-0100
658132,AL-1100,AL-1100,0,KK-1000
658363,JM-2900,MS-0550,0,KM-0050
658370,AC-2350,JH-5950,0,CK-0850
658384,TB-1060,NB-0050,0,
658460,AL-0650,AL-0650,0,CP-0800
658547,AD-0100,CM-3250,41,ED-1000
658628,BB-2425,TG-0600,0,JC-3550
658854,BW-0700,RH-0700,1,TD-0700
658952,BM-0300,,0,MJ-0600
658989,BM-0300,JH-3675,11,MJ-0600
659071,RM-1200,DD-0250,0,DH-1400
659109,BR-0050,BR-0050,0,
659164,BR-0050,BR-0050,0,
659180,AB-1975,CC-1900,0,
659211,CW-4050,WM-0550,0,DL-0400
659319,PR-0300,CM-3400,0,AB-0650
659414,BO-0150,BO-0150,0,
659539,MV-0300,LB-0250,0,RQ-0200
659639,DW-2350,NB-0200,0,JB-3350
659645,PP-0400,,0,
659696,CP-0500,CP-0500,0,TC-0370
659814,RT-0150,JJ-0650,0,SC-0550
660136,DT-0900,QD-0300,0,RM-1300
660179,MS-4100,MJ-0030,0,SB-0225
660336,AS-1600,EF-0050,0,MD-0060
660385,AS-1600,DS-4050,0,NP-0130
660441,JF-1900,JF-1900,0,
660473,JF-1900,RC-1550,0,CH-3100
660513,JF-1900,JF-1900,0,
660530,MV-0300,MV-0300,0,
660561,AB-3500,AB-3500,0,
660587,JL-0215,JL-0215,0,
660604,RT-0150,LM-1150,0,MW-1800
660756,NM-0250,DM-1450,0,
660796,JR-2775,JC-6400,0,DS-2200
660827,AH-3900,,0,DB-6100
660861,MH-1600,HT-0600,0,RD-0650
660892,FG-0200,AJ-1150,0,JE-1200
660910,BB-2425,BB-2425,0,
661025,MT-0550,MT-0550,0,
661108,RW-4050,PA-0300,0,PA-0300
661114,EM-0200,EM-0200,0,
661138,JH-2900,SL-0950,0,
661224,CN-0500,TJ-1000,0,
661229,JS-6700,ED-0400,0,CC-4000
661364,KC-2350,KC-2350,0,
661369,RM-1200,KR-0950,0,
661424,JR-1150,JH-3675,0,BG-1200
661477,NA-0050,TM-3450,0,
661499,MB-1800,KL-0550,0,MS-2400
661529,MS-2300,DW-3200,0,
661563,MF-1300,SM-1650,0,DA-0950
661611,LM-1850,SA-0100,0,
661695,AF-0900,DT-1970,24,
661719,CF-0375,DT-1970,-3,WM-1000
661824,CS-1500,NS-0750,84,AB-2500
661830,RB-2275,AD-0100,0,
661939,TK-0150,RN-0300,25,MJ-1800
662001,JM-2900,MI-0150,0,MI-0150
662214,JH-3050,DJ-1750,0,
662221,CK-0100,CK-0100,0,
662225,VM-0250,VM-0250,0,JT-1650
662317,DJ-1325,DB-0975,0,MB-0650
662413,LF-0200,TJ-2250,0,RM-3050
662433,TG-1950,RH-1250,0,TM-0850
662459,CP-0500,LS-0500,0,JL-0600
662543,SD-0537,SD-0537,0,DS-4300
662601,SD-0537,SD-0537,0,BR-1050
662640,TB-2650,VM-0300,0,TW-0600
662831,DN-1450,RW-3850,0,
662894,TL-1025,DC-0400,0,
662920,RW-3850,EA-0550,0,EA-0550
662931,RW-3850,CR-0650,27,JI-0200
662938,TJ-2350,TJ-2350,0,
662948,CJ-1100,,0,KC-0900
663138,JC-6200,RW-3550,0,AB-0100
663282,JC-6200,JC-6200,0,
663381,RB-4670,BW-0150,23,MB-1900
663533,MR-2500,WC-0300,0,CB-0200
663545,JJ-4700,JJ-4700,0,WB-0700
663592,DF-1875,JJ-4700,0,CB-0200
663632,JC-5680,,0,PA-0100
663754,CG-1950,JS-4037,3,GJ-0800
663880,DB-3800,JH-3675,0,FC-0400
663913,DB-3800,FC-0400,0,FC-0400
663951,MH-3300,BM-0600,2,DR-3700
664296,AR-1300,LJ-1800,0,RQ-0200
664300,NF-0250,TM-0650,0,JP-2000
664433,DM-3100,SJ-0650,0,JF-2950
664448,DH-2550,EW-1600,0,AW-1900
664454,BS-0650,BS-0650,0,
664513,AA-0025,JM-1650,0,TJ-0950
664545,AA-0025,,0,ST-0250
664568,GT-0100,RJ-0900,4,TJ-0950
664719,TB-2300,JE-0100,0,GH-0300
664800,JW-6000,JF-3150,7,JC-3550
664912,DC-0725,VM-0300,0,VM-0300
664977,MR-0970,RH-1600,0,TW-0600
664992,LA-0200,DB-5100,0,SB-0225
665062,CK-0100,CK-0100,0,DR-2800
665167,CK-0100,,0,DM-2950
665252,MG-1150,ST-0450,0,JJ-4250
665354,MR-2500,MR-2500,0,
665390,TC-2050,BB-3400,0,DE-0600
665403,JS-6950,DE-0600,0,
665483,MR-2500,JM-1450,0,HK-0100
665508,MR-2500,CJ-2400,0,CJ-2400
665515,ED-0200,BB-2725,-1,KJ-0275
665569,BM-0300,BB-2725,0,BB-2725
665590,TR-0175,TR-0175,0,
665677,CP-0500,BM-0360,0,
665764,JB-6950,MM-3800,0,JH-2100
665807,DJ-1325,DJ-1325,0,
665886,AP-0700,JB-3200,0,AB-0100
665978,CW-1450,BR-1000,0,DH-4650
666030,AD-0100,AD-0100,0,
666240,AA-0025,AA-0025,0,SA-0100
666250,TJ-2350,JB-2950,0,
666271,CF-1550,CP-2500,0,
666459,JM-2900,SB-0225,0,SB-0225
666490,OB-0150,OB-0150,0,
666544,JN-1900,JN-1900,0,
666617,AF-0900,KL-0075,0,CC-2600
666717,BB-2425,BB-2425,0,
666742,DW-3125,DW-3125,0,
666784,MM-0912,JJ-1620,0,CW-0100
666791,MM-0912,JT-0850,31,CW-0100
667102,MG-1150,DF-1250,0,MN-0300
667144,MG-1150,CM-0900,0,HC-0050
667218,EL-0010,TL-0300,0,DP-1250
667268,JH-3050,DJ-1750,0,AL-0650
667661,RJ-0800,DR-3700,0,MJ-0600
667671,SB-1100,SB-1100,0,
667710,JM-1550,DM-2950,7,UU-0100
667714,EM-0200,EF-0075,0,FC-0400
667741,DM-4300,LJ-0850,0,
667871,CH-5000,EP-0300,0,CA-1300
667949,EW-1600,LM-1000,0,
667979,EM-0250,CC-2600,6,AC-2250
667988,PP-0800,,0,CH-3350
668066,LM-1000,JE-1200,0,JC-6400
668076,EM-0250,EW-1600,0,AB-2730
668166,KC-2350,HJ-0300,43,HM-0100
668199,JW-5650,JW-5650,0,JJ-1150
668276,CS-1950,CB-0200,0,
668359,MP-0900,MR-2500,0,
668411,ZM-0150,ZM-0150,0,
668473,GW-0650,KW-2100,4,DH-2000
668515,GW-0650,GW-0650,0,
668572,BC-2325,JH-4070,0,GT-0300
668594,GW-0650,TC-1000,0,AD-0285
668673,TB-2650,ST-1200,0,
668700,TB-2650,TC-1625,0,HN-0300
668921,LJ-1250,JH-5550,-1,TH-0200
668934,TG-0025,RM-3050,20,JJ-1550
668941,JM-2900,AA-1900,0,WH-0300
668989,JC-4300,JP-4150,4,DW-2600
669051,TB-1060,NF-0100,-5,TM-1750
669071,JM-2900,ES-0800,0,WH-0300
